Source,Target,Type,Id,Label,timeset,Weight
2951021728,2144636783,Undirected,296,,,1
2103239820,1345056057,Undirected,297,,,1
2105628737,1345056057,Undirected,298,,,1
2144725603,1345056057,Undirected,299,,,1
2832588412,1345056057,Undirected,300,,,1
2944170742,1345056057,Undirected,301,,,1
2944446064,1345056057,Undirected,302,,,1
2953735065,1345056057,Undirected,303,,,1
1345056057,2036035498,Undirected,304,,,2
1345056057,2096398445,Undirected,305,,,1
1345056057,2132478116,Undirected,306,,,1
1345056057,2144636783,Undirected,307,,,5
1345056057,2224265930,Undirected,308,,,2
1345056057,2570290309,Undirected,309,,,4
1345056057,2489583241,Undirected,310,,,1
1345056057,2397876722,Undirected,311,,,1
1345056057,2229511016,Undirected,312,,,1
1345056057,2951021728,Undirected,313,,,1
2294996757,2625378157,Undirected,314,,,2
2294996757,2690013054,Undirected,315,,,2
2294996757,2776164831,Undirected,316,,,1
2294996757,2918170205,Undirected,317,,,1
2294996757,2920479783,Undirected,318,,,1
2294996757,2951948510,Undirected,319,,,2
2294996757,1874579918,Undirected,321,,,2
2294996757,231801982,Undirected,322,,,1
2294996757,263436134,Undirected,323,,,2
2294996757,715859397,Undirected,324,,,2
2294996757,1979262825,Undirected,325,,,2
2294996757,2028407875,Undirected,326,,,2
2294996757,2078633956,Undirected,327,,,4
2294996757,2114518581,Undirected,328,,,2
2294996757,2154115838,Undirected,329,,,4
2294996757,2168753522,Undirected,330,,,1
2566053256,2059111593,Undirected,331,,,5
2623096892,2059111593,Undirected,332,,,5
2632233577,2059111593,Undirected,333,,,2
2700702374,2059111593,Undirected,334,,,1
2765164329,2059111593,Undirected,335,,,1
2776385686,2059111593,Undirected,336,,,1
2787503102,2059111593,Undirected,337,,,1
2791690580,2059111593,Undirected,338,,,1
2911807821,2059111593,Undirected,339,,,1
2971175808,2059111593,Undirected,340,,,2
3003321027,2059111593,Undirected,341,,,1
422218349,580757126,Undirected,342,,,1
2078969743,580757126,Undirected,343,,,1
2138961986,580757126,Undirected,344,,,1
2156977226,580757126,Undirected,345,,,2
2229591546,580757126,Undirected,346,,,1
2231578346,580757126,Undirected,347,,,2
2246577087,580757126,Undirected,348,,,1
2529868542,580757126,Undirected,349,,,2
2797535001,580757126,Undirected,350,,,1
2797841547,580757126,Undirected,351,,,1
2802089189,580757126,Undirected,352,,,1
564112320,9988965,Undirected,353,,,3
1093317426,9988965,Undirected,354,,,1
2023985210,9988965,Undirected,355,,,1
2025610251,9988965,Undirected,356,,,1
2104333588,9988965,Undirected,357,,,1
2222246929,9988965,Undirected,358,,,1
2230089554,9988965,Undirected,359,,,1
2230954642,9988965,Undirected,360,,,3
2538031590,9988965,Undirected,361,,,4
2659472065,9988965,Undirected,362,,,1
2721147150,9988965,Undirected,363,,,1
2792810102,9988965,Undirected,364,,,3
2890645745,9988965,Undirected,365,,,3
2944675959,9988965,Undirected,366,,,9
2954344482,9988965,Undirected,367,,,1
2976423939,9988965,Undirected,368,,,1
2977206309,9988965,Undirected,369,,,1
